Title,Web,Category,Fetched_Title,Abstract,Authors,Journal,Keywords
Automated distribution of quantum circuits via hypergraph partitioning,https://arxiv.org/abs/1811.10972,Quantum Circuits,Automated distribution of quantum circuits via hypergraph partitioning,"Quantum algorithms are usually described as monolithic circuits, becoming
large at modest input size. Near-term quantum architectures can only manage a
small number of qubits. We develop an automated method to distribute quantum
circuits over multiple agents, minimising quantum communication between them.
We reduce the problem to hypergraph partitioning and then solve it with
state-of-the-art optimisers. This makes our approach useful in practice, unlike
previous methods. Our implementation is evaluated on five quantum circuits of
practical relevance.","Pablo Andrés-Martínez, Chris Heunen",arXiv,quant-ph
Blueprint for a Scalable Photonic Fault-Tolerant Quantum Computer,https://arxiv.org/abs/2010.02905,Quantum Photonics,Blueprint for a Scalable Photonic Fault-Tolerant Quantum Computer,"Photonics is the platform of choice to build a modular, easy-to-network
quantum computer operating at room temperature. However, no concrete
architecture has been presented so far that exploits both the advantages of
qubits encoded into states of light and the modern tools for their generation.
Here we propose such a design for a scalable and fault-tolerant photonic
quantum computer informed by the latest developments in theory and technology.
Central to our architecture is the generation and manipulation of
three-dimensional hybrid resource states comprising both bosonic qubits and
squeezed vacuum states. The proposal enables exploiting state-of-the-art
procedures for the non-deterministic generation of bosonic qubits combined with
the strengths of continuous-variable quantum computation, namely the
implementation of Clifford gates using easy-to-generate squeezed states.
Moreover, the architecture is based on two-dimensional integrated photonic
chips used to produce a qubit cluster state in one temporal and two spatial
dimensions. By reducing the experimental challenges as compared to existing
architectures and by enabling room-temperature quantum computation, our design
opens the door to scalable fabrication and operation, which may allow photonics
to leap-frog other platforms on the path to a quantum computer with millions of
qubits.","J. Eli Bourassa, Rafael N. Alexander, Michael Vasmer, Ashlesha Patil, Ilan Tzitrin, Takaya Matsuura, Daiqin Su, Ben Q. Baragiola, Saikat Guha, Guillaume Dauphinais, Krishna K. Sabapathy, Nicolas C. Menicucci, Ish Dhand",arXiv,quant-ph
Bootstrap Embedding on a Quantum Computer,https://arxiv.org/pdf/2301.01457.pdf,Quantum Algorithms,Bootstrap Embedding on a Quantum Computer,"We extend molecular bootstrap embedding to make it appropriate for
implementation on a quantum computer. This enables solution of the electronic
structure problem of a large molecule as an optimization problem for a
composite Lagrangian governing fragments of the total system, in such a way
that fragment solutions can harness the capabilities of quantum computers. By
employing state-of-art quantum subroutines including the quantum SWAP test and
quantum amplitude amplification, we show how a quadratic speedup can be
obtained over the classical algorithm, in principle. Utilization of quantum
computation also allows the algorithm to match -- at little additional
computational cost -- full density matrices at fragment boundaries, instead of
being limited to 1-RDMs. Current quantum computers are small, but quantum
bootstrap embedding provides a potentially generalizable strategy for
harnessing such small machines through quantum fragment matching.","Yuan Liu, Oinam R. Meitei, Zachary E. Chin, Arkopal Dutt, Max Tao, Isaac L. Chuang, Troy Van Voorhis",arXiv,"quant-ph, physics.chem-ph"
"Classical, quantum and total correlations",https://iopscience.iop.org/article/10.1088/0305-4470/34/35/315,Quantum Information Theory,"Classical, quantum and total correlations",Unknown,"L Henderson, V Vedral",Journal of Physics A: Mathematical and General,
"Coherent shuttle of electron-spin states - T. Fujita, T. A. Baart, C. Reichl, W. Wegscheider, L. M. K. Vandersype",https://arxiv.org/abs/1701.00815,,Coherent shuttle of electron-spin states,"We demonstrate a coherent spin shuttle through a GaAs/AlGaAs
quadruple-quantum-dot array. Starting with two electrons in a spin-singlet
state in the first dot, we shuttle one electron over to either the second,
third or fourth dot. We observe that the separated spin-singlet evolves
periodically into the $m=0$ spin-triplet and back before it dephases due to
nuclear spin noise. We attribute the time evolution to differences in the local
Zeeman splitting between the respective dots. With the help of numerical
simulations, we analyse and discuss the visibility of the singlet-triplet
oscillations and connect it to the requirements for coherent spin shuttling in
terms of the inter-dot tunnel coupling strength and rise time of the pulses.
The distribution of entangled spin pairs through tunnel coupled structures may
be of great utility for connecting distant qubit registers on a chip.","T. Fujita, T. A. Baart, C. Reichl, W. Wegscheider, L. M. K. Vandersypen",arXiv,"cond-mat.mes-hall, quant-ph"
"Commercial applications of quantum computing - Francesco Bova, Avi Goldfarb, Roger G. Melko",https://epjquantumtechnology.springeropen.com/articles/10.1140/epjqt/s40507-021-00091-1,,Commercial applications of quantum computing,"AbstractDespite the scientific and engineering challenges facing the development of quantum computers, considerable progress is being made toward applying the technology to commercial applications. In this article, we discuss the solutions that some companies are already building using quantum hardware. Framing these as examples of combinatorics problems, we illustrate their application in four industry verticals: cybersecurity, materials and pharmaceuticals, banking and finance, and advanced manufacturing. While quantum computers are not yet available at the scale needed to solve all of these combinatorics problems, we identify three types of near-term opportunities resulting from advances in quantum computing: quantum-safe encryption, material and drug discovery, and quantum-inspired algorithms.","Francesco Bova, Avi Goldfarb, Roger G. Melko",EPJ Quantum Technology,
"Comparing coherent and incoherent models for quantum homogenization - Anna Beever, Maria Violaris, Chiara Marletto, and Vlatko Vedral",https://arxiv.org/pdf/2309.15741.pdf,,Comparing coherent and incoherent models for quantum homogenization,"Here we investigate the role of quantum interference in the quantum
homogenizer, whose convergence properties model a thermalization process. In
the original quantum homogenizer protocol, a system qubit converges to the
state of identical reservoir qubits through partial-swap interactions, that
allow interference between reservoir qubits. We design an alternative,
incoherent quantum homogenizer, where each system-reservoir interaction is
moderated by a control qubit using a controlled-swap interaction. We show that
our incoherent homogenizer satisfies the essential conditions for
homogenization, being able to transform a qubit from any state to any other
state to arbitrary accuracy, with negligible impact on the reservoir qubits'
states. Our results show that the convergence properties of homogenization
machines that are important for modelling thermalization are not dependent on
coherence between qubits in the homogenization protocol. We then derive bounds
on the resources required to re-use the homogenizers for performing state
transformations. This demonstrates that both homogenizers are universal for any
number of homogenizations, for an increased resource cost.","Anna Beever, Maria Violaris, Chiara Marletto, Vlatko Vedral",arXiv,quant-ph
"Conservation Laws Reveal the Quantumness of Gravity - Tianfeng Feng, Chiara Marletto, Vlatko Vedral",https://arxiv.org/abs/2311.08971,,Conservation Laws and the Quantization of Gravity,"Adopting general frameworks for quantum-classical dynamics, we analyze the
interaction between quantum matter and a classical gravitational field. We
point out that, assuming conservation of momentum or energy, and assuming that
the dynamics obeys Hamiltonian formalism or a particular decomposition property
set out in the paper, the classical gravitational field cannot change the
momentum or energy of the quantum system, whereas the quantum gravitational
field can do so. Drawing upon the fundamental relationship between conservation
laws and the quantum properties of objects, our analysis offers new
perspectives for the study of quantum gravity and provides a novel
interpretation of existing experimental observations, such as free fall.","Tianfeng Feng, Chiara Marletto, Vlatko Vedral",arXiv,"quant-ph, gr-qc"
"Constructor Theory of Information - David Deutsch, Chiara Marletto",https://arxiv.org/abs/1405.5563,,Constructor Theory of Information,"We present a theory of information expressed solely in terms of which
transformations of physical systems are possible and which are impossible -
i.e. in constructor-theoretic terms. Although it includes conjectured laws of
physics that are directly about information, independently of the details of
particular physical instantiations, it does not regard information as an a
priori mathematical or logical concept, but as something whose nature and
properties are determined by the laws of physics alone. It does not suffer from
the circularity at the foundations of existing information theory (namely that
information and distinguishability are each defined in terms of the other). It
explains the relationship between classical and quantum information, and
reveals the single, constructor-theoretic property underlying the most
distinctive phenomena associated with the latter, including the lack of
in-principle distinguishability of some states, the impossibility of cloning,
the existence of pairs of variables that cannot simultaneously have sharp
values, the fact that measurement processes can be both deterministic and
unpredictable, the irreducible perturbation caused by measurement, and
entanglement (locally inaccessible information).","David Deutsch, Chiara Marletto",arXiv,quant-ph
Constructor Theory of Life - Chiara Marletto,https://arxiv.org/abs/1407.0681,,Constructor Theory of Life,"Neo-Darwinian evolutionary theory explains how the appearance of purposive
design in the sophisticated adaptations of living organisms can have come about
without their intentionally being designed. The explanation relies crucially on
the possibility of certain physical processes: mainly, gene replication and
natural selection. In this paper I show that for those processes to be possible
without the design of biological adaptations being encoded in the laws of
physics, those laws must have certain other properties. The theory of what
these properties are is not part of evolution theory proper, and has not been
developed, yet without it the neo-Darwinian theory does not fully achieve its
purpose of explaining the appearance of design. To this end I apply Constructor
Theory's new mode of explanation to provide an exact formulation of the
appearance of design, of no-design laws, and of the logic of self-reproduction
and natural selection, within fundamental physics. I conclude that
self-reproduction, replication and natural selection are possible under
no-design laws, the only non-trivial condition being that they allow digital
information to be physically instantiated. This has an exact characterisation
in the constructor theory of information. I also show that under no-design laws
an accurate replicator requires the existence of a ""vehicle"" constituting,
together with the replicator, a self-reproducer.",Chiara Marletto,arXiv,"physics.bio-ph, quant-ph"
Constructor Theory of Probability,https://arxiv.org/abs/1507.03287,Constructor Theory,Constructor Theory of Probability,"Unitary quantum theory, having no Born Rule, is non-probabilistic. Hence the
notorious problem of reconciling it with the unpredictability and appearance of
stochasticity in quantum measurements. Generalising and improving upon the
so-called 'decision-theoretic approach' (Deutsch, 1999; Wallace, 2003, 2007,
2012), I shall recast that problem in the recently proposed constructor theory
of information - where quantum theory is represented as one of a class of
superinformation theories, which are local, non-probabilistic theories
conforming to certain constructor-theoretic conditions. I prove that the
unpredictability of measurement outcomes (to which I give an exact meaning via
constructor theory), necessarily arises in superinformation theories. Then I
explain how the appearance of stochasticity in (finitely many) repeated
measurements can arise under superinformation theories. And I establish
sufficient conditions for a superinformation theory to inform decisions (made
under it) as if it were probabilistic, via a Deutsch-Wallace-type argument -
thus defining a class of decision-supporting superinformation theories. This
broadens the domain of applicability of that argument to cover
constructor-theory compliant theories. In addition, in this version some of the
argument's assumptions, previously construed as merely decision-theoretic,
follow from physical properties expressed by constructor-theoretic principles.",Chiara Marletto,arXiv,quant-ph
Constructor Theory of Thermodynamics - Chiara Marletto,https://arxiv.org/abs/1608.02625,,Constructor Theory of Thermodynamics,"All current formulations of thermodynamics invoke some form of
coarse-graining or ensembles as the supposed link between their own laws and
the microscopic laws of motion. They deal only with ensemble-averages,
expectation values, macroscopic limits, infinite heat baths, etc., not with the
details of physical variables of individual microscopic systems. They are
consistent with the laws of motion for finite systems only in certain
approximations, which improve with increasing scale, given various assumptions
about initial conditions which are neither specified precisely nor even thought
to hold exactly in nature. Here I propose a new formulation of the zeroth,
first and second laws, improving upon the axiomatic approach to thermodynamics
(Carath\'eodory, 1909; Lieb & Yngvason, 1999), via the principles of the
recently proposed constructor theory. Specifically, I provide a
non-approximative, scale-independent formulation of 'adiabatic accessibility';
this in turn provides a non-approximative, scale-independent distinction
between work and heat and reveals an unexpected connection between information
theory and the first law of thermodynamics (not just the second). It also
achieves the long-sought unification of the axiomatic approach with Kelvin's.",Chiara Marletto,arXiv,physics.class-ph
Continued Fractions and Probability Estimations in Shor’s Algorithm: A Detailed and Self-Contained Treatise -Johanna Barzen and Frank Leymann,https://arxiv.org/abs/2205.01925,,"Continued Fractions and Probability Estimations in the Shor Algorithm --
  A Detailed and Self-Contained Treatise","The algorithm of Shor for prime factorization is a hybrid algorithm
consisting of a quantum part and a classical part. The main focus of the
classical part is a continued fraction analysis. The presentation of this is
often short, pointing to text books on number theory. In this contribution, we
present the relevant results and proofs from the theory of continued fractions
in detail (even in more detail than in text books) filling the gap to allow a
complete comprehension of the algorithm of Shor. Similarly, we provide a
detailed computation of the estimation of the probability that convergents will
provide the period required for determining a prime factor.","Johanna Barzen, Frank Leymann",arXiv,"math.HO, math.NT, quant-ph"
"Quantum Data Center: Theories and Applications - Junyu Liu, Connor T. Hann, and Liang Jiang1",https://arxiv.org/abs/2207.14336,,Data centers with quantum random access memory and quantum networks,"In this paper, we propose the Quantum Data Center (QDC), an architecture
combining Quantum Random Access Memory (QRAM) and quantum networks. We give a
precise definition of QDC, and discuss its possible realizations and
extensions. We discuss applications of QDC in quantum computation, quantum
communication, and quantum sensing, with a primary focus on QDC for $T$-gate
resources, QDC for multi-party private quantum communication, and QDC for
distributed sensing through data compression. We show that QDC will provide
efficient, private, and fast services as a future version of data centers.","Junyu Liu, Connor T. Hann, Liang Jiang",arXiv,"quant-ph, cs.DC, cs.LG"
Deep Learning with Coherent Nanophotonic Circuits - Yichen Shen,https://arxiv.org/pdf/1610.02365.pdf,,Deep Learning with Coherent Nanophotonic Circuits,"Artificial Neural Networks are computational network models inspired by
signal processing in the brain. These models have dramatically improved the
performance of many learning tasks, including speech and object recognition.
However, today's computing hardware is inefficient at implementing neural
networks, in large part because much of it was designed for von Neumann
computing schemes. Significant effort has been made to develop electronic
architectures tuned to implement artificial neural networks that improve upon
both computational speed and energy efficiency. Here, we propose a new
architecture for a fully-optical neural network that, using unique advantages
of optics, promises a computational speed enhancement of at least two orders of
magnitude over the state-of-the-art and three orders of magnitude in power
efficiency for conventional learning tasks. We experimentally demonstrate
essential parts of our architecture using a programmable nanophotonic
processor.","Yichen Shen, Nicholas C. Harris, Scott Skirlo, Mihika Prabhu, Tom Baehr-Jones, Michael Hochberg, Xin Sun, Shijie Zhao, Hugo Larochelle, Dirk Englund, Marin Soljacic",arXiv,"physics.optics, physics.comp-ph"
Designing a Quantum Network Protocol,https://arxiv.org/abs/2010.02575,Quantum Protocol Design,Designing a Quantum Network Protocol,"The second quantum revolution brings with it the promise of a quantum
internet. As the first quantum network hardware prototypes near completion new
challenges emerge. A functional network is more than just the physical
hardware, yet work on scalable quantum network systems is in its infancy. In
this paper we present a quantum network protocol designed to enable end-to-end
quantum communication in the face of the new fundamental and technical
challenges brought by quantum mechanics. We develop a quantum data plane
protocol that enables end-to-end quantum communication and can serve as a
building block for more complex services. One of the key challenges in
near-term quantum technology is decoherence -- the gradual decay of quantum
information -- which imposes extremely stringent limits on storage times. Our
protocol is designed to be efficient in the face of short quantum memory
lifetimes. We demonstrate this using a simulator for quantum networks and show
that the protocol is able to deliver its service even in the face of
significant losses due to decoherence. Finally, we conclude by showing that the
protocol remains functional on the extremely resource limited hardware that is
being developed today underlining the timeliness of this work.","Wojciech Kozlowski, Axel Dahlberg, Stephanie Wehner",arXiv,"cs.NI, quant-ph"
Disentangling Hype from Practicality: On Realistically Achieving Quantum Advantage,https://arxiv.org/pdf/2307.00523.pdf,Quantum Markets and Hype,"Disentangling Hype from Practicality: On Realistically Achieving Quantum
  Advantage","Quantum computers offer a new paradigm of computing with the potential to
vastly outperform any imagineable classical computer. This has caused a gold
rush towards new quantum algorithms and hardware. In light of the growing
expectations and hype surrounding quantum computing we ask the question which
are the promising applications to realize quantum advantage. We argue that
small data problems and quantum algorithms with super-quadratic speedups are
essential to make quantum computers useful in practice. With these guidelines
one can separate promising applications for quantum computing from those where
classical solutions should be pursued. While most of the proposed quantum
algorithms and applications do not achieve the necessary speedups to be
considered practical, we already see a huge potential in material science and
chemistry. We expect further applications to be developed based on our
guidelines.","Torsten Hoefler, Thomas Haener, Matthias Troyer",arXiv,"quant-ph, cs.DS, cs.PF, physics.pop-ph"
"Does provable absence of barren plateaus imply classical simulability? Or, why we need to rethink variational quantum computing - M. Cerezo et. al.",https://arxiv.org/pdf/2312.09121.pdf,,"Does provable absence of barren plateaus imply classical simulability?
  Or, why we need to rethink variational quantum computing","A large amount of effort has recently been put into understanding the barren
plateau phenomenon. In this perspective article, we face the increasingly loud
elephant in the room and ask a question that has been hinted at by many but not
explicitly addressed: Can the structure that allows one to avoid barren
plateaus also be leveraged to efficiently simulate the loss classically? We
present strong evidence that commonly used models with provable absence of
barren plateaus are also classically simulable, provided that one can collect
some classical data from quantum devices during an initial data acquisition
phase. This follows from the observation that barren plateaus result from a
curse of dimensionality, and that current approaches for solving them end up
encoding the problem into some small, classically simulable, subspaces. Thus,
while stressing quantum computers can be essential for collecting data, our
analysis sheds serious doubt on the non-classicality of the information
processing capabilities of parametrized quantum circuits for barren
plateau-free landscapes. We end by discussing caveats in our arguments, the
role of smart initializations and the possibility of provably superpolynomial,
or simply practical, advantages from running parametrized quantum circuits.","M. Cerezo, Martin Larocca, Diego García-Martín, N. L. Diaz, Paolo Braccia, Enrico Fontana, Manuel S. Rudolph, Pablo Bermejo, Aroosa Ijaz, Supanut Thanasilp, Eric R. Anschuetz, Zoë Holmes",arXiv,"quant-ph, cs.LG, stat.ML"
Efficient parametric frequency conversion in lithium niobate nanophotonic chips,https://arxiv.org/abs/1903.08722,Quantum Photonics,"Efficient parametric frequency conversions in lithium niobate
  nanophotonic chips","Chip-integrated nonlinear photonics holds the key for advanced optical
information processing with superior performance and novel functionalities.
Here, we present an optimally mode-matched, periodically poled lithium niobate
nanowaveguide for efficient parametric frequency conversions on chip. Using a
4-mm nanowaveguide with subwavelength mode confinement, we demonstrate second
harmonic generation with efficiency over $2200\%~W^{-1}cm^{-2}$, and broadband
difference frequency generation with similar efficiency over a 4.5-THz spectral
span. These allow us to generate correlated photon pairs over multiple
frequency channels via spontaneous parametric down conversion, all in their
fundamental spatial modes, with a coincidence to accidental ratio as high as
600. The high efficiency and dense integrability of the present chip devices
may pave a viable route to scalable nonlinear applications in both classical
and quantum domains.","Jia-yang Chen, Yong Meng Sua, Zhao-hui Ma, Chao Tang, Zhan Li, Yu-ping Huang",arXiv,"quant-ph, physics.optics"
Electrical Tuning of Neutral and Charged Excitons with 1-nm Gate,https://arxiv.org/pdf/2310.19895.pdf,Silicon Based Technologies,Electrical Tuning of Neutral and Charged Excitons with 1-nm Gate,"Electrical control of individual spins and photons in solids is key for
quantum technologies, but scaling down to small, static systems remains
challenging. Here, we demonstrate nanoscale electrical tuning of neutral and
charged excitons in monolayer WSe2 using 1-nm carbon nanotube gates.
Electrostatic simulations reveal a confinement radius below 15 nm, reaching the
exciton Bohr radius limit for few-layer dielectric spacing. In situ
photoluminescence spectroscopy shows gate-controlled conversion between neutral
excitons, negatively charged trions, and biexcitons at 4 K. Important for
quantum information processing applications, our measurements indicate gating
of a local 2D electron gas in the WSe2 layer, coupled to photons via trion
transitions with binding energies exceeding 20 meV. The ability to
deterministically tune and address quantum emitters using nanoscale gates
provides a pathway towards large-scale quantum optoelectronic circuits and
spin-photon interfaces for quantum networking.","Jawaher Almutlaq, Jiangtao Wang, Linsen Li, Chao Li, Tong Dang, Vladimir Bulović, Jing Kong, Dirk Englund",arXiv,"cond-mat.mes-hall, physics.optics"
Elementary gates for quantum computation,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.52.3457,Quantum Circuits,Elementary gates for quantum computation,Unknown,"Adriano Barenco, Charles H. Bennett, Richard Cleve, David P. DiVincenzo, Norman Margolus, Peter Shor, Tycho Sleator, John A. Smolin, Harald Weinfurter",Physical Review A,
